T-helper_17_cell	leukocyte	male_germ_cell	melanocyte	macrophage_dendritic_cell_progenitor	keratin_accumulating_cell	kidney_tubule_cell	megakaryocyte	hematopoietic_stem_cell	CD4-positive,_alpha-beta_memory_T_cell	trophectodermal_cell	conidium	calvarial_osteoblast	brain_microvascular_endothelial_cell	pericyte_cell	cord_blood_hematopoietic_stem_cell	common_myeloid_progenitor	hematopoietic_multipotent_progenitor_cell	innate_effector_T_cell	vascular_associated_smooth_muscle_cell	plasmacytoid_dendritic_cell	primordial_germ_cell	neuron_associated_cell_(sensu_Vertebrata)	***UNKNOWN***	effector_memory_CD8-positive,_alpha-beta_T_cell	central_memory_CD8-positive,_alpha-beta_T_cell	kidney_glomerular_epithelial_cell	androgen_binding_protein_secreting_cell	cumulus_cell	plasma_cell	mammary_gland_epithelial_cell	plasmablast	IgG_memory_B_cell	IgD-negative_memory_B_cell	T_follicular_helper_cell	CD8-positive,_alpha-beta_memory_T_cell	germinal_center_B_cell	memory_T_cell	endothelial_cell	placental_pericyte	corneal_endothelial_cell	acinar_cell	type_A_enterocrine_cell	pancreatic_D_cell	pancreatic_PP_cell	pleural_macrophage	astrocyte	trophoblast_cell	respiratory_epithelial_cell	early_lymphoid_progenitor	endothelial_cell_of_vascular_tree	erythroid_lineage_cell	stromal_cell_of_ovary	stromal_cell	pre-conventional_dendritic_cell	pancreatic_ductal_cell	central_nervous_system_macrophage	myeloid_dendritic_cell	anucleate_cell	alveolar_macrophage	metabolising_cell	hematopoietic_cell	common_myeloid_progenitor,_CD34-positive	CD8-positive,_alpha-beta_thymocyte	lung_secretory_cell	mesodermal_cell	myeloid_lineage_restricted_progenitor_cell	myelocyte	precursor_B_cell	metamyelocyte	epithelial_melanocyte	electrically_signaling_cell	glial_cell	myoepithelial_cell	extracellular_matrix_secreting_cell	epithelial_cell_of_amnion	muscle_precursor_cell	embryonic_cell	polychromatophilic_erythroblast	orthochromatic_erythroblast	fibroblast	osteoblast	multinucleate_cell	activated_CD4-positive,_alpha-beta_T_cell,_human	retinal_blood_vessel_endothelial_cell	erythroid_progenitor_cell	granulosa_cell	naive_thymus-derived_CD8-positive,_alpha-beta_T_cell	bone_marrow_cell	radial_glial_cell	skin_fibroblast	memory_B_cell	myofibroblast_cell	spermatocyte	spermatid
0.6989700043360189	0	0	3.1455071714096627	2.1583624920952498	2.8920946026904804	3.9272163305912646	0.47712125471966244	0.7781512503836436	0.6020599913279624	1.0791812460476249	0.6989700043360189	4.824073741499322	3.5974757898703773	4.459754249114512	0.9030899869919435	0.8450980400142568	1.1139433523068367	0.3010299956639812	3.3763944420372662	0.47712125471966244	0.47712125471966244	3.88024177589548	0.9542425094393249	0.3010299956639812	1	4.725870813226274	3.722057771331464	3.859258417467307	0	4.253265293690157	1.146128035678238	0.8450980400142568	0.6989700043360189	0.6020599913279624	0.3010299956639812	0.6020599913279624	0.8450980400142568	3.7405995128111567	3.4276483711869328	3.3081373786380386	0	0	0	0	2.8937617620579434	4.22125770712091	2.9159272116971158	0.9030899869919435	0.9030899869919435	3.7940695839816323	0	4.429606952703283	3.99943504987633	0.47712125471966244	3.583878598498626	0.47712125471966244	1.414973347970818	0	2.9595183769729982	3.6917002082901615	4.333689041703905	0.3010299956639812	0	3.675319983339292	3.511348515490213	0.6020599913279624	0.3010299956639812	0.3010299956639812	0	3.15896526038341	0	0	3.7301360039966776	4.04083959468534	4.691461665039397	4.75418009047477	4.302785336145699	0	0	4.275426536741639	4.818608537761366	3.7531232446817127	0.3010299956639812	3.5654936298688624	0	3.877601679729272	1.3222192947339193	1.146128035678238	2.0791812460476247	3.981501488148247	0.3010299956639812	2.7937903846908188	1.7558748556724915	2.1271047983648077
0	0	0	1.255272505103306	0	0.9542425094393249	0.47712125471966244	0.47712125471966244	0.3010299956639812	0	0.47712125471966244	0.3010299956639812	4.6963126949376415	0.6989700043360189	3.5836521085420436	0.3010299956639812	0	0.3010299956639812	0.47712125471966244	3.7715139899796664	0	0.3010299956639812	3.522574632691177	0.9030899869919435	0.3010299956639812	0.9542425094393249	2.9777236052888476	3.650793039651931	2.0492180226701815	0	1.255272505103306	0.8450980400142568	0.3010299956639812	0	0	0.6989700043360189	0	0	2.1931245983544616	4.130944568044679	4.266866441221181	0	0	0	0	1.3010299956639813	3.796921075330169	1.8129133566428555	1.1139433523068367	0.3010299956639812	0.47712125471966244	0	4.508745129469548	4.1034273973827675	0	1.6989700043360187	0	0.3010299956639812	0	0.47712125471966244	0.3010299956639812	3.9840319802711806	0	0	1.380211241711606	3.3025473724874854	0	0.6020599913279624	0	0.7781512503836436	0.3010299956639812	0	0	1.5314789170422551	4.565906822067658	3.466125870418199	3.5177235948337358	3.85582190540603	0	0	2.5899496013257077	4.551742682123167	3.6135247028536526	0	0.3010299956639812	0.3010299956639812	2.2013971243204513	0.3010299956639812	0.6020599913279624	0.8450980400142568	3.873494982256169	0	0	0.9030899869919435	1.3222192947339193
0	0	0	0	0	0	0	0	3.756636108245848	0	0	0	0	0	0	2.5728716022004803	2.346352974450639	2.1986570869544226	2.6848453616444123	0	0	0	0	0	0	0	0	4.043755126968679	0	3.7547304690237535	0	3.6340740254874686	3.5304558435846762	3.4413808849165113	0	2.2095150145426308	0	0	0	0.47712125471966244	0	3.854002233126989	3.9076263048432662	5.075189159763004	5.239934811293413	0	0	0	0	4.576675294460542	0	0	0	0	2.885926339801431	0.3010299956639812	0	0	4.217799679947118	0	0	0	2.984077033902831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3010299956639812	0	0	0	0	0	0	0	0	0	0	0	2.546542663478131	0	0	0	0.3010299956639812	0
2.3138672203691533	0	0	0	3.634578022853888	0.47712125471966244	2.807535028068853	2.7259116322950483	3.123851640967086	2.639486489268586	0	3.4513258084895195	0	0.3010299956639812	0	3.8137810781740824	2.9459607035775686	3.1936810295412816	2.574031267727719	0.3010299956639812	3.9823617016331467	0	0.3010299956639812	1.919078092376074	1.591064607026499	1.9493900066449128	1.9637878273455553	1.1760912590556813	1.3979400086720377	3.2821687783046416	1.3617278360175928	3.639486489268586	4.38113313831705	4.432536383264256	3.0519239160461065	3.0457140589408676	3.8788089323592057	2.357934847000454	0	0.3010299956639812	1.7481880270062005	0	1.3979400086720377	0	1.6434526764861874	4.3083509485867255	1.7075701760979363	0	2.8260748027008264	3.9419584165308135	0.3010299956639812	0.47712125471966244	0.8450980400142568	0.9030899869919435	4.438526527205319	2.0755469613925306	3.961516011448949	4.257222446187574	1.9590413923210936	3.9034155857690864	1.1139433523068367	0.47712125471966244	2.574031267727719	0	3.8605775512444156	1.5185139398778875	3.1947917577219247	1.6720978579357175	3.4056877866727775	2.2624510897304293	0	0.3010299956639812	0.3010299956639812	1.5440680443502757	1	1.414973347970818	0	0	0	0.47712125471966244	0	2.0211892990699383	0	2.73559889969818	0	2.7259116322950483	2.161368002234975	1.7481880270062005	2.6757783416740852	1.2787536009528289	0	4.2804190087761995	4.058463985602251	1.146128035678238	1.3010299956639813
0.8450980400142568	0	0	0	3.8910912264677235	0	1.845098040014257	2.184691430817599	3.433929765608464	1.4913616938342726	0	3.518118947143153	0	0	0	3.561459171241916	2.693726948923647	3.076640443670342	0	0	3.657915936829955	0	0	0.3010299956639812	0.6020599913279624	1	0	0.9030899869919435	1	1	0.47712125471966244	2.530199698203082	3.7732011423563443	3.7955324427101544	2.2671717284030137	2.4913616938342726	3.4085791254086675	1.8325089127062364	0	0	0.7781512503836436	0	0	0	0	3.9540494467635945	1.5563025007672873	0	2.285557309007774	3.404149249209695	0	0.3010299956639812	0	0.3010299956639812	4.151523067564944	0.3010299956639812	3.6153186566114788	3.4872798164430687	1.9084850188786497	3.822037248072585	0.3010299956639812	0	2.0644579892269186	0	3.663229634532868	0	2.802089257881733	0.6020599913279624	3.1528995963937474	1.6127838567197355	0	0	0	0	0.3010299956639812	0	0	0	0	0.3010299956639812	0	1.3979400086720377	0	1.7323937598229686	0	2.7283537820212285	1.9867717342662448	0.3010299956639812	1.6720978579357175	0.3010299956639812	0	3.788380515319563	3.8684680990209865	0.3010299956639812	1
0.3010299956639812	0	0	2.103803720955957	0	0.3010299956639812	0	0	0	0.3010299956639812	0.6020599913279624	0	4.388420940661169	0	3.694517453811156	0.6020599913279624	0.47712125471966244	1	0.6020599913279624	3.6585837154070626	0.7781512503836436	1.0413926851582251	3.431524584187451	0.47712125471966244	0.3010299956639812	0.9030899869919435	0.3010299956639812	3.521530341278711	1.5440680443502757	0	0.9030899869919435	0.8450980400142568	0.3010299956639812	0.3010299956639812	0.7781512503836436	0.6020599913279624	0.3010299956639812	0.6989700043360189	2.6541765418779604	3.8318697742805017	4.252391803181244	0	0	0	0.3010299956639812	0.9542425094393249	3.456821348021599	0.3010299956639812	0.6020599913279624	0.6989700043360189	0.6989700043360189	0	4.321598430465344	4.1138765326310525	0	0	0	0.6020599913279624	0	0.3010299956639812	0	3.878636673026517	0.47712125471966244	0	1.1760912590556813	2.9849771264154934	0.3010299956639812	0.3010299956639812	0.3010299956639812	0.47712125471966244	1.6020599913279623	0	0	1.0413926851582251	3.8437931983259124	3.714497408649806	3.709524355876341	3.785329835010767	0	0	2.870403905279027	4.182813951257366	3.530199698203082	0	0.7781512503836436	0.3010299956639812	2.1583624920952498	0.6989700043360189	1.380211241711606	1.6720978579357175	4.014142361545006	0	0	1.8512583487190752	1.8195439355418688
0	2.56702636615906	0	2.788168371141168	1.0413926851582251	2.437750562820388	2.5477747053878224	2.2041199826559246	1.380211241711606	0.3010299956639812	1.462397997898956	2.673020907128896	4.138933940256924	0.3010299956639812	3.0773679052841563	1.2041199826559248	1.7993405494535817	1.724275869600789	0.3010299956639812	3.5444401373176926	0.3010299956639812	1.6127838567197355	2.7774268223893115	0	0	0.3010299956639812	3.4186326873540653	3.36285930295868	3.336859820916809	1.0791812460476249	2.6020599913279625	0.3010299956639812	0	0.3010299956639812	0.47712125471966244	0	0.6989700043360189	0.3010299956639812	3.653791187387812	3.5449357658815024	3.815776920298363	0	0	0	0	0.9542425094393249	3.4891143693789193	3.1341771075767664	0.47712125471966244	2.0453229787866576	3.7162538258960365	0.3010299956639812	4.057742155828753	3.7502769151539925	1.146128035678238	0.47712125471966244	0	0.3010299956639812	4.0342272607705505	2.326335860928751	0	3.582063362911709	0.9030899869919435	0	2.037426497940624	3.081707270097349	2.369215857410143	0.3010299956639812	0.8450980400142568	0.47712125471966244	2.7944880466591697	0	2.7363965022766426	2.6875289612146345	3.6784273224338673	3.6084190513172856	3.238798562713917	3.794975744051132	0	0	2.863322860120456	3.786964259435733	3.759592308645975	0	3.0791812460476247	0.6989700043360189	3.1992064791616577	0.6020599913279624	1.3424226808222062	2.5237464668115646	3.425044874551389	0.3010299956639812	1.7160033436347992	1.9294189257142926	2.1367205671564067
0	0	0	0	0	0	0	0	0	0	0	0	3.902709812969877	0	2.8943160626844384	0	0	0	0	3.27669152884504	0	0.47712125471966244	3.0457140589408676	0	0	0	0	3.2785249647370174	1.5563025007672873	0	0	0.6989700043360189	0	0	0	0	0	0	2.404833716619938	3.534026106056135	4.140288011811867	0	0	0	0	1.3424226808222062	2.7168377232995247	2.103803720955957	0.47712125471966244	0	0.3010299956639812	0	3.827110687466011	4.130623201682595	0	0	0	0.3010299956639812	0	0	0	3.63286204010023	0	0	0.9030899869919435	3.2314695904306814	0	0	0	0	0	3.1010593549081156	0	0	3.690196080028514	3.825491029879431	2.859738566197147	3.1958996524092336	0	0	2.0569048513364727	3.6193020758756083	3.2258259914618934	0	0.7781512503836436	0	2.093421685162235	0.47712125471966244	0	1.146128035678238	3.2143138974244	0	0	1.3617278360175928	1.954242509439325
1.2041199826559248	0	0	1.0413926851582251	3.8806421264042847	3.8560639533331	2.826722520168992	4.043872912391425	0	0.3010299956639812	0	0.3010299956639812	4.07928980609866	1.954242509439325	3.193958978019187	0.3010299956639812	0	1.1760912590556813	1.7853298350107671	2.3710678622717363	0.9030899869919435	0.6020599913279624	3.6669857183296606	0.47712125471966244	1.8692317197309762	1.792391689498254	3.6780629049743454	3.087781417809542	2.8048206787211623	0	3.41161970596323	0.8450980400142568	0.3010299956639812	0.3010299956639812	0	1.380211241711606	0	1.1760912590556813	3.3215984304653436	3.9045532629767727	2.823474229170301	0.3010299956639812	0	0.6989700043360189	0	2.392696953259666	2.924795995797912	1.8864907251724818	1.1139433523068367	1.3617278360175928	3.4665710723863543	1	3.832381160247041	3.392696953259666	0	2.8819549713396007	0.3010299956639812	1	2.629409599102719	1.3222192947339193	0.47712125471966244	2.4983105537896004	1.1760912590556813	0	3.1956229435869368	1.591064607026499	0.3010299956639812	0.7781512503836436	0.7781512503836436	1.7558748556724915	0.8450980400142568	0	0	3.1931245983544616	3.204662511748219	3.829175073917088	3.494154594018443	3.4144719496293026	0.6989700043360189	1.1139433523068367	3.8708718950677428	3.7267272090265724	3.1758016328482794	0.3010299956639812	3.8605775512444156	1.3424226808222062	2.8444771757456815	0	0.3010299956639812	1.8325089127062364	3.3044905277734875	0.47712125471966244	1.505149978319906	1.505149978319906	1.662757831681574
3.300812794118117	3.859738566197147	0	0	2.949390006644913	0	0	2.0530784434834195	3.143014800254095	3.2362852774480286	0.3010299956639812	2.593286067020457	0	0	0	2.7944880466591697	2.0453229787866576	2.2833012287035497	3.3106933123433606	0	2.617000341120899	0	0	2.932980821923198	2.6190933306267428	2.8959747323590648	0	0.7781512503836436	0	1.2041199826559248	0	2.782472624166286	3.315130317183602	3.377306251068199	3.383456296524753	3.548880562637515	3.166726055580052	3.082066934285113	0	0.3010299956639812	0	0	0	0	0	2.859138297294531	0	0	1.1760912590556813	2.815577748324267	0	0.3010299956639812	0	1.4313637641589874	2.6085260335771943	0	2.828015064223977	3.0086001717619175	1.3222192947339193	2.625312450961674	0	0	2.6981005456233897	0	2.4471580313422194	0	2.374748346010104	2.9190780923760737	2.2576785748691846	3.1562461903973444	0	0	0	0	0	0	0	0	0	0	0	0	0	3.17260293120986	0	2.123851640967086	2.4313637641589874	3.2555137128195333	1.568201724066995	1.505149978319906	0	3.222456336679247	2.6522463410033232	0.7781512503836436	0.9030899869919435
